,Customer ID,R Rank,F Rank,M Rank,R,F,M,RFM_SCORE,Segment
1316,4554,11.0,14.0,337.0,4,3,3,10,Loyal Customer
1317,4937,38.0,5.0,39.0,3,1,1,5,New Customer
1319,8749,32.0,5.0,56.0,3,1,1,5,New Customer
1320,1650,87.0,27.0,910.0,1,4,4,9,Loyal Customer
1321,10377,63.0,13.0,301.0,2,2,2,6,Potential Loyalists Customer
1322,9206,64.0,25.0,688.0,2,4,4,10,Loyal Customer
1323,10971,72.0,13.0,350.0,2,2,3,7,Potential Loyalists Customer
1324,6398,98.0,7.0,45.0,1,1,1,3,Potential Lost Customer
1325,9212,83.0,23.0,923.0,1,4,4,9,Loyal Customer
1326,7937,14.0,7.0,53.0,4,1,1,6,Potential Loyalists Customer
1327,839,46.0,9.0,151.0,3,2,2,7,Potential Loyalists Customer
1328,4246,98.0,3.0,289.0,1,1,2,4,New Customer
1329,158,97.0,17.0,735.0,1,3,4,8,Loyal Customer
1330,4832,16.0,7.0,96.0,4,1,2,7,Potential Loyalists Customer
1331,5621,92.0,13.0,254.0,1,2,2,5,New Customer
1332,1945,96.0,19.0,822.0,1,3,4,8,Loyal Customer
1333,5147,43.0,27.0,828.0,3,4,4,11,Loyal Customer
1334,2535,76.0,20.0,535.0,2,4,3,9,Loyal Customer
1335,11039,49.0,12.0,250.0,3,2,2,7,Potential Loyalists Customer
1336,9495,71.0,17.0,704.0,2,3,4,9,Loyal Customer
1337,9635,87.0,8.0,117.0,1,2,2,5,New Customer
1338,2173,77.0,5.0,27.0,1,1,1,3,Potential Lost Customer
1339,942,64.0,12.0,241.0,2,2,2,6,Potential Loyalists Customer
1340,9386,12.0,13.0,258.0,4,2,2,8,Loyal Customer
1341,5510,98.0,14.0,331.0,1,3,3,7,Potential Loyalists Customer
1342,873,97.0,18.0,722.0,1,3,4,8,Loyal Customer
1343,2253,85.0,6.0,80.0,1,1,2,4,New Customer
1344,5181,42.0,4.0,19.0,3,1,1,5,New Customer
1346,10390,73.0,5.0,25.0,2,1,1,4,New Customer
1348,7793,88.0,22.0,512.0,1,4,3,8,Loyal Customer
1350,10590,9.0,23.0,852.0,4,4,4,12,Loyal Customer
1351,5080,88.0,17.0,761.0,1,3,4,8,Loyal Customer
1352,8369,79.0,4.0,23.0,1,1,1,3,Potential Lost Customer
1353,5232,77.0,11.0,193.0,1,2,2,5,New Customer
1354,2407,90.0,20.0,878.0,1,4,4,9,Loyal Customer
1355,3834,65.0,22.0,543.0,2,4,3,9,Loyal Customer
1356,7912,31.0,7.0,98.0,3,1,2,6,Potential Loyalists Customer
1357,7712,32.0,19.0,430.0,3,3,3,9,Loyal Customer
1358,1065,15.0,19.0,988.0,4,3,4,11,Loyal Customer
1359,7275,66.0,8.0,119.0,2,2,2,6,Potential Loyalists Customer
1360,1343,45.0,17.0,407.0,3,3,3,9,Loyal Customer
1361,1384,90.0,6.0,57.0,1,1,1,3,Potential Lost Customer
1362,9967,70.0,15.0,336.0,2,3,3,8,Loyal Customer
1363,6181,64.0,27.0,585.0,2,4,3,9,Loyal Customer
1364,10507,86.0,12.0,510.0,1,2,3,6,Potential Loyalists Customer
1365,2674,21.0,16.0,700.0,4,3,4,11,Loyal Customer
1366,2698,48.0,15.0,314.0,3,3,3,9,Loyal Customer
1367,3231,3.0,5.0,25.0,4,1,1,6,Potential Loyalists Customer
1369,10476,100.0,11.0,205.0,1,2,2,5,New Customer
1370,5948,4.0,11.0,199.0,4,2,2,8,Loyal Customer
1371,9140,11.0,7.0,86.0,4,1,2,7,Potential Loyalists Customer
1373,5675,2.0,17.0,361.0,4,3,3,10,Loyal Customer
1374,4743,28.0,24.0,602.0,3,4,3,10,Loyal Customer
1375,8805,99.0,14.0,287.0,1,3,2,6,Potential Loyalists Customer
1376,1542,74.0,15.0,300.0,2,3,2,7,Potential Loyalists Customer
1377,6770,95.0,6.0,63.0,1,1,1,3,Potential Lost Customer
1378,8773,78.0,13.0,259.0,1,2,2,5,New Customer
1380,10420,44.0,10.0,189.0,3,2,2,7,Potential Loyalists Customer
1381,7514,26.0,9.0,158.0,4,2,2,8,Loyal Customer
1384,793,76.0,6.0,40.0,2,1,1,4,New Customer
1385,10909,91.0,21.0,983.0,1,4,4,9,Loyal Customer
1388,4791,65.0,5.0,36.0,2,1,1,4,New Customer
1390,8216,93.0,12.0,261.0,1,2,2,5,New Customer
1391,8140,49.0,8.0,90.0,3,2,2,7,Potential Loyalists Customer
1392,10146,83.0,5.0,37.0,1,1,1,3,Potential Lost Customer
1393,5289,70.0,5.0,67.0,2,1,2,5,New Customer
1394,2587,79.0,6.0,15.0,1,1,1,3,Potential Lost Customer
1395,4405,98.0,22.0,505.0,1,4,3,8,Loyal Customer
1396,8663,15.0,4.0,10.0,4,1,1,6,Potential Loyalists Customer
1397,2589,35.0,7.0,54.0,3,1,1,5,New Customer
1399,10490,89.0,13.0,316.0,1,2,3,6,Potential Loyalists Customer
1400,4094,8.0,12.0,234.0,4,2,2,8,Loyal Customer
1402,2534,96.0,9.0,167.0,1,2,2,5,New Customer
1403,4188,47.0,12.0,276.0,3,2,2,7,Potential Loyalists Customer
1404,6613,61.0,21.0,473.0,2,4,3,9,Loyal Customer
1405,10827,51.0,8.0,132.0,3,2,2,7,Potential Loyalists Customer
1407,8402,60.0,21.0,508.0,2,4,3,9,Loyal Customer
1408,8783,60.0,16.0,340.0,2,3,3,8,Loyal Customer
1409,10010,57.0,8.0,137.0,2,2,2,6,Potential Loyalists Customer
1410,618,83.0,22.0,510.0,1,4,3,8,Loyal Customer
1412,361,16.0,4.0,15.0,4,1,1,6,Potential Loyalists Customer
1413,4310,75.0,21.0,830.0,2,4,4,10,Loyal Customer
1414,2678,38.0,9.0,179.0,3,2,2,7,Potential Loyalists Customer
1415,6376,17.0,16.0,388.0,4,3,3,10,Loyal Customer
1417,10341,55.0,10.0,189.0,2,2,2,6,Potential Loyalists Customer
1418,5654,66.0,6.0,56.0,2,1,1,4,New Customer
1419,4098,97.0,7.0,39.0,1,1,1,3,Potential Lost Customer
1420,5824,99.0,4.0,3.0,1,1,1,3,Potential Lost Customer
1421,7000,82.0,23.0,521.0,1,4,3,8,Loyal Customer
1423,5229,19.0,5.0,37.0,4,1,1,6,Potential Loyalists Customer
1425,2428,77.0,7.0,73.0,1,1,2,4,New Customer
1426,8254,52.0,4.0,18.0,2,1,1,4,New Customer
1427,2836,39.0,4.0,14.0,3,1,1,5,New Customer
1428,8418,40.0,6.0,56.0,3,1,1,5,New Customer
1429,1362,25.0,14.0,338.0,4,3,3,10,Loyal Customer
1431,10033,46.0,5.0,33.0,3,1,1,5,New Customer
1432,9349,16.0,23.0,694.0,4,4,4,12,Loyal Customer
1433,274,25.0,6.0,29.0,4,1,1,6,Potential Loyalists Customer
1434,3388,84.0,13.0,238.0,1,2,2,5,New Customer
1435,922,21.0,5.0,43.0,4,1,1,6,Potential Loyalists Customer
1437,2518,84.0,4.0,25.0,1,1,1,3,Potential Lost Customer
1438,574,4.0,7.0,113.0,4,1,2,7,Potential Loyalists Customer
1440,5967,40.0,7.0,65.0,3,1,2,6,Potential Loyalists Customer
1441,1183,89.0,4.0,17.0,1,1,1,3,Potential Lost Customer
1442,6856,25.0,7.0,60.0,4,1,1,6,Potential Loyalists Customer
1443,4530,64.0,21.0,993.0,2,4,4,10,Loyal Customer
1444,1553,29.0,23.0,1039.0,3,4,4,11,Loyal Customer
1445,4682,12.0,13.0,249.0,4,2,2,8,Loyal Customer
1446,8204,7.0,18.0,787.0,4,3,4,11,Loyal Customer
1447,5221,7.0,23.0,551.0,4,4,3,11,Loyal Customer
1448,1232,46.0,17.0,757.0,3,3,4,10,Loyal Customer
1449,1927,59.0,14.0,457.0,2,3,3,8,Loyal Customer
1450,5788,54.0,10.0,179.0,2,2,2,6,Potential Loyalists Customer
1451,6652,72.0,17.0,695.0,2,3,4,9,Loyal Customer
1452,6246,60.0,23.0,861.0,2,4,4,10,Loyal Customer
1453,5975,18.0,6.0,52.0,4,1,1,6,Potential Loyalists Customer
1454,6875,62.0,16.0,381.0,2,3,3,8,Loyal Customer
1456,4042,13.0,9.0,160.0,4,2,2,8,Loyal Customer
1457,2157,51.0,7.0,72.0,3,1,2,6,Potential Loyalists Customer
1458,10133,84.0,26.0,1042.0,1,4,4,9,Loyal Customer
1459,2525,35.0,17.0,383.0,3,3,3,9,Loyal Customer
1460,8233,91.0,18.0,391.0,1,3,3,7,Potential Loyalists Customer
1461,9483,76.0,19.0,433.0,2,3,3,8,Loyal Customer
1463,10403,57.0,7.0,39.0,2,1,1,4,New Customer
1464,5074,90.0,5.0,42.0,1,1,1,3,Potential Lost Customer
1465,10524,71.0,19.0,509.0,2,3,3,8,Loyal Customer
1466,4690,55.0,18.0,407.0,2,3,3,8,Loyal Customer
1468,7196,80.0,4.0,8.0,1,1,1,3,Potential Lost Customer
1469,4406,71.0,22.0,845.0,2,4,4,10,Loyal Customer
1470,9672,18.0,6.0,60.0,4,1,1,6,Potential Loyalists Customer
1471,4864,32.0,9.0,156.0,3,2,2,7,Potential Loyalists Customer
1472,4706,35.0,5.0,35.0,3,1,1,5,New Customer
1473,4070,1.0,18.0,661.0,4,3,4,11,Loyal Customer
1474,25,91.0,20.0,685.0,1,4,4,9,Loyal Customer
1475,3697,80.0,8.0,122.0,1,2,2,5,New Customer
1477,4220,74.0,7.0,82.0,2,1,2,5,New Customer
1478,5286,32.0,10.0,185.0,3,2,2,7,Potential Loyalists Customer
1479,9559,21.0,26.0,637.0,4,4,3,11,Loyal Customer
1482,3102,68.0,5.0,27.0,2,1,1,4,New Customer
1483,5868,51.0,5.0,41.0,3,1,1,5,New Customer
1484,8370,50.0,17.0,712.0,3,3,4,10,Loyal Customer
1485,9988,16.0,23.0,542.0,4,4,3,11,Loyal Customer
1486,2939,4.0,15.0,906.0,4,3,4,11,Loyal Customer
1487,5529,44.0,16.0,334.0,3,3,3,9,Loyal Customer
1488,9743,15.0,28.0,987.0,4,4,4,12,Loyal Customer
1489,5763,37.0,14.0,291.0,3,3,2,8,Loyal Customer
1490,3478,83.0,21.0,482.0,1,4,3,8,Loyal Customer
1491,7494,89.0,12.0,220.0,1,2,2,5,New Customer
1492,1763,38.0,29.0,1046.0,3,4,4,11,Loyal Customer
1493,7250,52.0,19.0,422.0,2,3,3,8,Loyal Customer
1494,2005,14.0,7.0,70.0,4,1,2,7,Potential Loyalists Customer
1495,10770,27.0,25.0,644.0,3,4,3,10,Loyal Customer
1496,6885,64.0,6.0,50.0,2,1,1,4,New Customer
1497,2072,66.0,16.0,652.0,2,3,4,9,Loyal Customer
1498,9463,84.0,22.0,836.0,1,4,4,9,Loyal Customer
1499,6318,52.0,30.0,802.0,2,4,4,10,Loyal Customer
1500,4093,39.0,13.0,328.0,3,2,3,8,Loyal Customer
1502,3340,44.0,15.0,328.0,3,3,3,9,Loyal Customer
1503,3594,26.0,20.0,485.0,4,4,3,11,Loyal Customer
1504,3584,65.0,21.0,821.0,2,4,4,10,Loyal Customer
1505,3643,35.0,14.0,578.0,3,3,3,9,Loyal Customer
1506,851,52.0,18.0,437.0,2,3,3,8,Loyal Customer
1507,7706,12.0,25.0,646.0,4,4,3,11,Loyal Customer
1508,3967,81.0,24.0,587.0,1,4,3,8,Loyal Customer
1509,10128,79.0,23.0,567.0,1,4,3,8,Loyal Customer
1512,9451,8.0,24.0,915.0,4,4,4,12,Loyal Customer
1513,9264,99.0,22.0,909.0,1,4,4,9,Loyal Customer
1514,3865,86.0,7.0,68.0,1,1,2,4,New Customer
1515,2853,26.0,11.0,226.0,4,2,2,8,Loyal Customer
1516,1490,16.0,22.0,539.0,4,4,3,11,Loyal Customer
1518,10380,50.0,7.0,99.0,3,1,2,6,Potential Loyalists Customer
1519,3887,98.0,6.0,99.0,1,1,2,4,New Customer
1520,4278,27.0,19.0,991.0,3,3,4,10,Loyal Customer
1521,8643,79.0,22.0,916.0,1,4,4,9,Loyal Customer
1522,1998,18.0,7.0,79.0,4,1,2,7,Potential Loyalists Customer
1524,11110,44.0,1.0,1.0,3,1,1,5,New Customer
1525,2408,80.0,21.0,479.0,1,4,3,8,Loyal Customer
1526,202,46.0,18.0,752.0,3,3,4,10,Loyal Customer
1527,7998,23.0,7.0,103.0,4,1,2,7,Potential Loyalists Customer
1528,830,95.0,15.0,915.0,1,3,4,8,Loyal Customer
1529,3536,35.0,6.0,50.0,3,1,1,5,New Customer
1530,6050,67.0,23.0,865.0,2,4,4,10,Loyal Customer
1531,125,35.0,12.0,222.0,3,2,2,7,Potential Loyalists Customer
1532,3463,59.0,24.0,565.0,2,4,3,9,Loyal Customer
1533,2804,14.0,8.0,109.0,4,2,2,8,Loyal Customer
1534,3745,8.0,7.0,98.0,4,1,2,7,Potential Loyalists Customer
1535,9771,3.0,12.0,220.0,4,2,2,8,Loyal Customer
1536,451,9.0,5.0,17.0,4,1,1,6,Potential Loyalists Customer
1537,10530,100.0,16.0,709.0,1,3,4,8,Loyal Customer
1538,1079,41.0,17.0,667.0,3,3,4,10,Loyal Customer
1539,8920,96.0,26.0,692.0,1,4,4,9,Loyal Customer
1540,6678,95.0,8.0,67.0,1,2,2,5,New Customer
1541,3852,52.0,24.0,596.0,2,4,3,9,Loyal Customer
1542,528,1.0,20.0,815.0,4,4,4,12,Loyal Customer
1543,73,19.0,4.0,13.0,4,1,1,6,Potential Loyalists Customer
1544,5589,5.0,22.0,507.0,4,4,3,11,Loyal Customer
1546,6365,95.0,6.0,75.0,1,1,2,4,New Customer
1547,5636,50.0,8.0,149.0,3,2,2,7,Potential Loyalists Customer
1548,591,24.0,19.0,448.0,4,3,3,10,Loyal Customer
1549,2217,54.0,4.0,18.0,2,1,1,4,New Customer
1550,2544,32.0,7.0,87.0,3,1,2,6,Potential Loyalists Customer
1551,7725,67.0,16.0,436.0,2,3,3,8,Loyal Customer
1552,8091,50.0,17.0,681.0,3,3,4,10,Loyal Customer
1555,7791,11.0,5.0,20.0,4,1,1,6,Potential Loyalists Customer
1556,955,19.0,11.0,200.0,4,2,2,8,Loyal Customer
1557,4037,23.0,4.0,15.0,4,1,1,6,Potential Loyalists Customer
1558,6642,50.0,8.0,97.0,3,2,2,7,Potential Loyalists Customer
1559,2793,90.0,24.0,637.0,1,4,3,8,Loyal Customer
1562,9530,84.0,4.0,12.0,1,1,1,3,Potential Lost Customer
1563,4828,88.0,21.0,506.0,1,4,3,8,Loyal Customer
1564,10699,70.0,7.0,87.0,2,1,2,5,New Customer
1565,1497,92.0,15.0,308.0,1,3,3,7,Potential Loyalists Customer
1566,7476,7.0,20.0,765.0,4,4,4,12,Loyal Customer
1567,4390,86.0,22.0,533.0,1,4,3,8,Loyal Customer
1568,10478,47.0,19.0,429.0,3,3,3,9,Loyal Customer
1569,1081,74.0,15.0,628.0,2,3,3,8,Loyal Customer
1572,5350,71.0,18.0,1047.0,2,3,4,9,Loyal Customer
1573,8135,59.0,5.0,47.0,2,1,1,4,New Customer
1575,4967,81.0,12.0,219.0,1,2,2,5,New Customer
1576,2130,96.0,8.0,133.0,1,2,2,5,New Customer
1577,9298,11.0,18.0,961.0,4,3,4,11,Loyal Customer
1579,6257,19.0,17.0,371.0,4,3,3,10,Loyal Customer
1580,3790,69.0,4.0,10.0,2,1,1,4,New Customer
1581,9952,47.0,17.0,680.0,3,3,4,10,Loyal Customer
1582,3503,22.0,15.0,605.0,4,3,3,10,Loyal Customer
1583,5223,20.0,7.0,61.0,4,1,1,6,Potential Loyalists Customer
1584,4608,82.0,27.0,502.0,1,4,3,8,Loyal Customer
1585,1626,63.0,5.0,44.0,2,1,1,4,New Customer
1586,4764,48.0,9.0,150.0,3,2,2,7,Potential Loyalists Customer
1587,2471,61.0,12.0,241.0,2,2,2,6,Potential Loyalists Customer
1588,5892,89.0,11.0,188.0,1,2,2,5,New Customer
1589,2612,67.0,25.0,925.0,2,4,4,10,Loyal Customer
1591,5185,17.0,13.0,556.0,4,2,3,9,Loyal Customer
1592,10069,57.0,5.0,53.0,2,1,1,4,New Customer
1594,1131,46.0,7.0,90.0,3,1,2,6,Potential Loyalists Customer
1595,1041,97.0,15.0,320.0,1,3,3,7,Potential Loyalists Customer
1597,3409,32.0,13.0,268.0,3,2,2,7,Potential Loyalists Customer
1598,7022,98.0,21.0,824.0,1,4,4,9,Loyal Customer
1599,7943,60.0,6.0,30.0,2,1,1,4,New Customer
1600,5272,36.0,17.0,395.0,3,3,3,9,Loyal Customer
1601,5453,74.0,24.0,1043.0,2,4,4,10,Loyal Customer
1602,2565,31.0,20.0,791.0,3,4,4,11,Loyal Customer
1603,800,43.0,5.0,27.0,3,1,1,5,New Customer
1604,11092,22.0,6.0,36.0,4,1,1,6,Potential Loyalists Customer
1605,5062,29.0,5.0,34.0,3,1,1,5,New Customer
1606,8969,41.0,22.0,699.0,3,4,4,11,Loyal Customer
1607,4656,72.0,20.0,465.0,2,4,3,9,Loyal Customer
1608,4480,39.0,15.0,304.0,3,3,3,9,Loyal Customer
1611,1773,62.0,6.0,52.0,2,1,1,4,New Customer
1612,9242,81.0,19.0,938.0,1,3,4,8,Loyal Customer
1613,1764,8.0,12.0,221.0,4,2,2,8,Loyal Customer
1614,6215,76.0,5.0,26.0,2,1,1,4,New Customer
1615,10099,79.0,22.0,552.0,1,4,3,8,Loyal Customer
1616,5423,65.0,4.0,11.0,2,1,1,4,New Customer
1617,940,91.0,13.0,250.0,1,2,2,5,New Customer
1619,3298,8.0,25.0,707.0,4,4,4,12,Loyal Customer
1620,8286,45.0,8.0,111.0,3,2,2,7,Potential Loyalists Customer
1621,9668,86.0,7.0,72.0,1,1,2,4,New Customer
1623,6097,36.0,16.0,394.0,3,3,3,9,Loyal Customer
1624,7019,51.0,10.0,181.0,3,2,2,7,Potential Loyalists Customer
1625,7408,92.0,11.0,196.0,1,2,2,5,New Customer
1626,8041,65.0,16.0,671.0,2,3,4,9,Loyal Customer
1627,252,89.0,17.0,415.0,1,3,3,7,Potential Loyalists Customer
1628,9986,92.0,8.0,49.0,1,2,1,4,New Customer
1629,3276,47.0,7.0,73.0,3,1,2,6,Potential Loyalists Customer
1631,3570,36.0,11.0,203.0,3,2,2,7,Potential Loyalists Customer
1632,3783,57.0,8.0,106.0,2,2,2,6,Potential Loyalists Customer
1633,10207,60.0,4.0,10.0,2,1,1,4,New Customer
1635,3427,89.0,21.0,480.0,1,4,3,8,Loyal Customer
1636,5209,79.0,18.0,434.0,1,3,3,7,Potential Loyalists Customer
1637,10711,77.0,22.0,558.0,1,4,3,8,Loyal Customer
1638,10785,83.0,6.0,36.0,1,1,1,3,Potential Lost Customer
1639,2814,94.0,5.0,26.0,1,1,1,3,Potential Lost Customer
1640,6866,44.0,5.0,29.0,3,1,1,5,New Customer
1641,1665,29.0,14.0,947.0,3,3,4,10,Loyal Customer
1642,6575,49.0,18.0,422.0,3,3,3,9,Loyal Customer
1644,3091,73.0,21.0,525.0,2,4,3,9,Loyal Customer
1645,10141,99.0,4.0,15.0,1,1,1,3,Potential Lost Customer
1646,5177,44.0,15.0,300.0,3,3,2,8,Loyal Customer
1647,7005,29.0,21.0,518.0,3,4,3,10,Loyal Customer
1648,6409,82.0,20.0,723.0,1,4,4,9,Loyal Customer
1649,7485,52.0,8.0,125.0,2,2,2,6,Potential Loyalists Customer
1650,8079,14.0,7.0,50.0,4,1,1,6,Potential Loyalists Customer
1651,8395,52.0,22.0,863.0,2,4,4,10,Loyal Customer
1652,10352,98.0,7.0,107.0,1,1,2,4,New Customer
1653,4931,87.0,29.0,941.0,1,4,4,9,Loyal Customer
1654,13,43.0,5.0,27.0,3,1,1,5,New Customer
1655,1834,23.0,6.0,62.0,4,1,1,6,Potential Loyalists Customer
1656,2285,100.0,13.0,267.0,1,2,2,5,New Customer
1657,2295,43.0,22.0,526.0,3,4,3,10,Loyal Customer
1658,1378,76.0,18.0,461.0,2,3,3,8,Loyal Customer
1659,2781,45.0,17.0,958.0,3,3,4,10,Loyal Customer
1660,1165,38.0,16.0,364.0,3,3,3,9,Loyal Customer
1661,1404,11.0,10.0,194.0,4,2,2,8,Loyal Customer
1662,6457,23.0,23.0,563.0,4,4,3,11,Loyal Customer
1663,2639,55.0,7.0,63.0,2,1,1,4,New Customer
1665,6437,20.0,6.0,71.0,4,1,2,7,Potential Loyalists Customer
1666,6912,40.0,22.0,498.0,3,4,3,10,Loyal Customer
1667,7327,29.0,7.0,42.0,3,1,1,5,New Customer
1670,8143,51.0,12.0,216.0,3,2,2,7,Potential Loyalists Customer
1671,1964,34.0,18.0,897.0,3,3,4,10,Loyal Customer
1672,3690,80.0,22.0,1022.0,1,4,4,9,Loyal Customer
1674,3389,39.0,31.0,873.0,3,4,4,11,Loyal Customer
1675,4712,82.0,7.0,77.0,1,1,2,4,New Customer
1676,1170,55.0,11.0,203.0,2,2,2,6,Potential Loyalists Customer
1677,6347,74.0,5.0,31.0,2,1,1,4,New Customer
1678,4065,100.0,15.0,305.0,1,3,3,7,Potential Loyalists Customer
1679,8230,72.0,6.0,66.0,2,1,2,5,New Customer
1680,1215,51.0,23.0,883.0,3,4,4,11,Loyal Customer
1681,5939,16.0,8.0,111.0,4,2,2,8,Loyal Customer
1682,2156,62.0,7.0,36.0,2,1,1,4,New Customer
1683,7788,47.0,4.0,5.0,3,1,1,5,New Customer
1684,10323,12.0,12.0,245.0,4,2,2,8,Loyal Customer
1685,7947,1.0,5.0,32.0,4,1,1,6,Potential Loyalists Customer
1686,1891,88.0,16.0,949.0,1,3,4,8,Loyal Customer
1687,2570,65.0,22.0,519.0,2,4,3,9,Loyal Customer
1688,9256,95.0,24.0,618.0,1,4,3,8,Loyal Customer
1690,7397,55.0,19.0,455.0,2,3,3,8,Loyal Customer
1691,6349,29.0,19.0,787.0,3,3,4,10,Loyal Customer
1692,10790,60.0,4.0,16.0,2,1,1,4,New Customer
1693,10398,18.0,4.0,26.0,4,1,1,6,Potential Loyalists Customer
1694,2431,30.0,6.0,62.0,3,1,1,5,New Customer
1695,550,13.0,20.0,464.0,4,4,3,11,Loyal Customer
1696,1890,5.0,4.0,20.0,4,1,1,6,Potential Loyalists Customer
1697,10742,28.0,12.0,484.0,3,2,3,8,Loyal Customer
1698,10356,95.0,5.0,27.0,1,1,1,3,Potential Lost Customer
1699,4676,14.0,24.0,932.0,4,4,4,12,Loyal Customer
1700,8852,20.0,24.0,663.0,4,4,4,12,Loyal Customer
1702,5294,51.0,8.0,52.0,3,2,1,6,Potential Loyalists Customer
1703,1958,15.0,20.0,442.0,4,4,3,11,Loyal Customer
1704,7349,93.0,8.0,98.0,1,2,2,5,New Customer
1705,8799,94.0,9.0,138.0,1,2,2,5,New Customer
1706,1351,75.0,29.0,745.0,2,4,4,10,Loyal Customer
1707,1045,45.0,12.0,229.0,3,2,2,7,Potential Loyalists Customer
1708,7732,19.0,20.0,483.0,4,4,3,11,Loyal Customer
1709,8070,2.0,12.0,215.0,4,2,2,8,Loyal Customer
1710,477,69.0,22.0,1030.0,2,4,4,10,Loyal Customer
1711,7832,70.0,23.0,869.0,2,4,4,10,Loyal Customer
1712,2202,2.0,6.0,64.0,4,1,1,6,Potential Loyalists Customer
1713,7396,8.0,26.0,894.0,4,4,4,12,Loyal Customer
1714,4055,59.0,7.0,59.0,2,1,1,4,New Customer
1715,10340,32.0,13.0,365.0,3,2,3,8,Loyal Customer
1716,10091,22.0,16.0,655.0,4,3,4,11,Loyal Customer
1717,7629,54.0,6.0,26.0,2,1,1,4,New Customer
1718,10640,29.0,10.0,181.0,3,2,2,7,Potential Loyalists Customer
1719,3498,94.0,22.0,550.0,1,4,3,8,Loyal Customer
1720,6742,18.0,4.0,6.0,4,1,1,6,Potential Loyalists Customer
1721,1172,29.0,25.0,1009.0,3,4,4,11,Loyal Customer
1722,569,68.0,19.0,1003.0,2,3,4,9,Loyal Customer
1723,4686,72.0,25.0,927.0,2,4,4,10,Loyal Customer
1724,1381,80.0,13.0,260.0,1,2,2,5,New Customer
1725,2634,90.0,7.0,64.0,1,1,1,3,Potential Lost Customer
1726,10905,93.0,12.0,206.0,1,2,2,5,New Customer
1727,1744,33.0,5.0,49.0,3,1,1,5,New Customer
1729,3828,39.0,27.0,789.0,3,4,4,11,Loyal Customer
1730,8605,64.0,6.0,63.0,2,1,1,4,New Customer
1732,4351,10.0,5.0,50.0,4,1,1,6,Potential Loyalists Customer
1733,10129,65.0,21.0,841.0,2,4,4,10,Loyal Customer
1734,2499,62.0,18.0,396.0,2,3,3,8,Loyal Customer
1735,10092,54.0,23.0,860.0,2,4,4,10,Loyal Customer
1737,5796,30.0,23.0,690.0,3,4,4,11,Loyal Customer
1738,10556,49.0,14.0,278.0,3,3,2,8,Loyal Customer
1739,1064,82.0,5.0,37.0,1,1,1,3,Potential Lost Customer
1740,48,3.0,9.0,163.0,4,2,2,8,Loyal Customer
1741,7610,68.0,15.0,344.0,2,3,3,8,Loyal Customer
1742,263,91.0,8.0,131.0,1,2,2,5,New Customer
1743,10814,94.0,25.0,808.0,1,4,4,9,Loyal Customer
1744,9710,20.0,22.0,506.0,4,4,3,11,Loyal Customer
1745,9292,26.0,23.0,814.0,4,4,4,12,Loyal Customer
1746,10250,51.0,4.0,23.0,3,1,1,5,New Customer
1748,5847,5.0,21.0,552.0,4,4,3,11,Loyal Customer
1749,737,44.0,14.0,1035.0,3,3,4,10,Loyal Customer
1750,3571,52.0,17.0,676.0,2,3,4,9,Loyal Customer
1752,3878,97.0,5.0,43.0,1,1,1,3,Potential Lost Customer
1753,5092,61.0,16.0,347.0,2,3,3,8,Loyal Customer
1755,5394,58.0,7.0,33.0,2,1,1,4,New Customer
1756,3798,20.0,7.0,76.0,4,1,2,7,Potential Loyalists Customer
1757,3524,91.0,9.0,149.0,1,2,2,5,New Customer
1758,5247,48.0,6.0,40.0,3,1,1,5,New Customer
1759,5883,22.0,19.0,446.0,4,3,3,10,Loyal Customer
1760,2118,32.0,18.0,425.0,3,3,3,9,Loyal Customer
1761,8812,55.0,6.0,43.0,2,1,1,4,New Customer
1762,6616,53.0,15.0,345.0,2,3,3,8,Loyal Customer
1763,2797,66.0,26.0,659.0,2,4,4,10,Loyal Customer
1764,4328,19.0,7.0,50.0,4,1,1,6,Potential Loyalists Customer
1765,9167,28.0,24.0,606.0,3,4,3,10,Loyal Customer
1766,10560,77.0,5.0,15.0,1,1,1,3,Potential Lost Customer
1769,5534,70.0,9.0,191.0,2,2,2,6,Potential Loyalists Customer
1770,5093,85.0,7.0,96.0,1,1,2,4,New Customer
1773,8584,46.0,17.0,714.0,3,3,4,10,Loyal Customer
1774,2694,56.0,5.0,19.0,2,1,1,4,New Customer
1777,164,41.0,12.0,220.0,3,2,2,7,Potential Loyalists Customer
1778,10477,84.0,7.0,97.0,1,1,2,4,New Customer
1779,2681,99.0,19.0,345.0,1,3,3,7,Potential Loyalists Customer
1780,5150,36.0,6.0,42.0,3,1,1,5,New Customer
1781,5283,28.0,8.0,130.0,3,2,2,7,Potential Loyalists Customer
1782,9645,2.0,24.0,794.0,4,4,4,12,Loyal Customer
1783,10678,9.0,24.0,575.0,4,4,3,11,Loyal Customer
1784,7261,92.0,13.0,256.0,1,2,2,5,New Customer
1785,9648,80.0,11.0,207.0,1,2,2,5,New Customer
1786,2870,94.0,16.0,368.0,1,3,3,7,Potential Loyalists Customer
1787,8008,46.0,7.0,108.0,3,1,2,6,Potential Loyalists Customer
1788,1513,28.0,17.0,759.0,3,3,4,10,Loyal Customer
1792,7960,11.0,26.0,814.0,4,4,4,12,Loyal Customer
1794,9905,31.0,10.0,209.0,3,2,2,7,Potential Loyalists Customer
1795,10691,45.0,5.0,38.0,3,1,1,5,New Customer
1796,7002,87.0,14.0,302.0,1,3,3,7,Potential Loyalists Customer
